date,time,sec,item,latitude,longitude,temp_item,temp,feels,weather
2020-02-01, 11:47:23, 40, milk, 42.337387, -71.077744, 108°, 35.26°, 20.41°, overcast_clouds
2020-02-03, 10:13:48, 105, frozen food, 41.863845, -87.625265, 125°, 31.44°, 23.88°, broken_clouds
2020-02-04, 12:27:36, 150, lunchbox, 41.880931, -87.625376, 135°, 35.65°, 18.59°, overcast_clouds
2020-02-05, 12:05:56, 150, lunchbox, 41.879032, -87.621159, 136°, 28.72°, 14.29°, overcast_clouds
2020-02-05, 21:31:03, 30, milk, 41.863845, -87.625265, 97°, 29.14°, 17.55°, light_snow
2020-02-06, 12:16:25, 150, lunchbox, 41.880931, -87.625376, 133°, 27.61°, 13.1°, light_snow
2020-02-07, 22:05:18, 300, frozen food, 41.881021, -87.641969, 140°, 35.51°, 24.06°, light_rain
2020-02-09, 10:46:09, 30, almond milk, 41.863845, -87.625265, 95°, 24.04°, 15.01°, overcast_clouds
2020-02-11, 07:18:46, 90, almond milk, 41.863845, -87.625265, 100°, 27.41°, 19.71°, mist
2020-02-11, 12:04:36, 120, lunchbox, 41.880931, -87.625376, 134°, 27.72°, 20.28°, broken_clouds
2020-02-11, 21:08:29, 100, frozen food, 41.863845, -87.625265, 135°, 33.62°, 20.89°, broken_clouds
2020-02-12, 12:01:57, 150, lunchbox, 41.879032, -87.621159, 138°, 24.4°, 17.11°, broken_clouds
2020-02-13, 12:23:18, 120, lunchbox, 41.880931, -87.625376, 136°, 23.7°, 8.38°, light_snow
2020-02-16, 11:36:44, 105, frozen food, 41.863845, -87.625265, 127°, 20.98°, 12.4°, few_clouds
2020-02-17, 11:52:41, 120, lunchbox, 41.880931, -87.625376, 135°, 31.6°, 20.79°, sky_is_clear
2020-02-18, 07:07:52, 30, oat, 41.863845, -87.625265, 91°, 37.96°, 30.81°, light_rain
2020-02-18, 12:01:35, 120, lunchbox, 41.880931, -87.625376, 130°, 35.73°, 21.56°, overcast_clouds
2020-02-19, 12:02:06, 110, lunchbox, 41.879032, -87.621159, 131°, 16.99°, 4.3°, few_clouds
2020-02-20, 11:57:12, 120, lunchbox, 41.880931, -87.625376, 136°, 12°, -0.26°, scatter_clouds
2020-02-24, 08:11:55, 45, oat, 41.863845, -87.625265, 99°, --°, --°, ---
2020-02-24, 11:46:04, 240, pasta, 41.863845, -87.625265, 139°, --°, --°, ---
2020-02-25, 12:13:17, 120, lunchbox, 41.880931, -87.625376, 135°, --°, --°, ---
2020-02-26, 11:55:40, 120, lunchbox, 41.879032, -87.621159, 132°, --°, --°, ---
2020-02-26, 17:12:33, 105, pasta, 41.863845, -87.625265, 125°, --°, --°, ---
2020-02-27, 07:49:59, 30, milk, 41.863845, -87.625265, 97°, --°, --°, ---
2020-02-27, 12:12:00, 120, lunchbox, 41.880931, -87.625376, 132°, --°, --°, ---
2020-02-28, 09:47:23, 90, milk, 41.863845, -87.625265, 100°, --°, --°, ---
2020-02-29, 15:54:20, 30, milk, 41.863845, -87.625265, 96°, --°,--°, ---
